model,agent,prompt,config_label,problems,passed_mean,failed_mean,errors_mean,total_mean,functional_correctness_mean,line_coverage_mean,branch_coverage_mean,mutation_score_mean,complexity_cc_mean,maintainability_mi_mean,bloat_ratio_mean,similarity_score_mean,unique_inputs_count_mean,edge_case_count_mean,test_type_count_mean,duplication_ratio_mean,diversity_score_mean,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,execution_time_mean,passed_sum,functional_correctness_sum,line_coverage_sum,mutation_score_sum,prompt_tokens_sum,completion_tokens_sum,total_tokens_sum,fc_per_1k_tokens,passed_per_1k_tokens,coverage_per_1k_tokens,mutation_per_1k_tokens,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens,elapsed_s,quality_rank
gemma-27b,baseline,scot,gemma-27b:scot,25,7.32,2.12,0.0,9.44,0.79444,82.32,61.45,0.66068,2.3768,74.168,3.4004,0.37716,13.16,1.16,3.2,0.00364,0.69356,1280.86,0.58,1275.88,,366.0,39.722,4116.0,33.034,64043.0,29.0,63794.0,0.6226604383,5.7372166661,64.5201743111,0.5178229928,7.32,2.12,0.0,9.44,0.79444,82.32,61.45,0.66068,2.3768,74.168,3.4004,0.37716,13.16,1.16,3.2,0.00364,0.69356,1280.86,0.58,1275.88,,75.192258
gemma-27b,baseline,few_shot,gemma-27b:few_shot,25,1.16,7.44,0.0,8.6,0.14924,71.6792,29.56,0.96,2.4996,79.796,2.23,0.46736,12.44,0.92,3.0,0.00364,0.66756,934.64,0.46,929.92,,58.0,7.462,3583.96,48.0,46732.0,23.0,46496.0,0.1604869236,1.2474191328,77.0810392292,1.0323468685,1.16,7.44,0.0,8.6,0.14924,71.6792,29.56,0.96,2.4996,79.796,2.23,0.46736,12.44,0.92,3.0,0.00364,0.66756,934.64,0.46,929.92,,52.041496
gemma-27b,coa,zero_shot,gemma-27b:zero_shot,25,8.88,4.16,0.04,13.08,0.60336,70.9058333333,35.18,0.8,2.4408,69.0756,5.284,0.2936,12.52,1.08,3.6,0.13296,0.6738,641.46,0.54,637.0,,444.0,30.168,3403.48,40.0,32073.0,27.0,31850.0,0.9471899529,13.9403453689,106.8596546311,1.2558869702,8.88,4.16,0.04,13.08,0.60336,70.9058333333,35.18,0.8,2.4408,69.0756,5.284,0.2936,12.52,1.08,3.6,0.13296,0.6738,641.46,0.54,637.0,,68.596243
gemma-27b,coa,cot,gemma-27b:cot,25,8.96,4.48,0.04,13.48,0.60116,70.92,35.0591666667,0.8,2.4108,68.7996,5.3532,0.28796,12.8,1.08,3.64,0.12436,0.67996,937.84,0.54,933.26,,448.0,30.058,3404.16,40.0,46892.0,27.0,46663.0,0.6441506118,9.600754345,72.9520176585,0.8572102094,8.96,4.48,0.04,13.48,0.60116,70.92,35.0591666667,0.8,2.4108,68.7996,5.3532,0.28796,12.8,1.08,3.64,0.12436,0.67996,937.84,0.54,933.26,,67.641995
gemma-27b,coa,scot,gemma-27b:scot,25,7.76,4.68,0.04,12.48,0.57868,69.5933333333,32.5075,0.84,2.4132,68.6904,5.37,0.28676,13.0,1.12,3.6,0.12624,0.68016,1062.16,11.86,1068.76,,388.0,28.934,3340.48,42.0,53108.0,593.0,53438.0,0.5414499046,7.2607507766,62.5113215315,0.7859575583,7.76,4.68,0.04,12.48,0.57868,69.5933333333,32.5075,0.84,2.4132,68.6904,5.37,0.28676,13.0,1.12,3.6,0.12624,0.68016,1062.16,11.86,1068.76,,66.58714
gemma-27b,coa,few_shot,gemma-27b:few_shot,25,7.96,4.6,0.04,12.6,0.58164,70.7945833333,34.9941666667,0.84,2.4608,68.7528,5.2912,0.2882,13.36,1.12,3.56,0.10316,0.68888,985.38,153.36,1133.28,,398.0,29.082,3398.14,42.0,49269.0,7668.0,56664.0,0.513235917,7.0238599464,59.9699985882,0.7412113511,7.96,4.6,0.04,12.6,0.58164,70.7945833333,34.9941666667,0.84,2.4608,68.7528,5.2912,0.2882,13.36,1.12,3.56,0.10316,0.68888,985.38,153.36,1133.28,,66.890213
gemma-27b,competitive,zero_shot,gemma-27b:zero_shot,25,0.4,12.32,0.04,12.76,0.03572,75.0070833333,20.7916666667,1.0,2.3864,70.3868,2.6276,0.40708,17.24,0.96,2.96,0.04668,0.66244,8.62,0.48,1.48,,20.0,1.786,3600.34,50.0,431.0,24.0,74.0,24.1351351351,270.2702702703,48653.2432432432,675.6756756757,0.4,12.32,0.04,12.76,0.03572,75.0070833333,20.7916666667,1.0,2.3864,70.3868,2.6276,0.40708,17.24,0.96,2.96,0.04668,0.66244,8.62,0.48,1.48,,51.800318
gemma-27b,competitive,cot,gemma-27b:cot,25,0.36,12.6,0.04,13.0,0.0348,74.9345833333,20.9166666667,1.0,2.1832,71.656,2.5356,0.41856,15.4,0.96,2.96,0.04836,0.65196,7.7,0.48,1.48,,18.0,1.74,3596.86,50.0,385.0,24.0,74.0,23.5135135135,243.2432432432,48606.2162162162,675.6756756757,0.36,12.6,0.04,13.0,0.0348,74.9345833333,20.9166666667,1.0,2.1832,71.656,2.5356,0.41856,15.4,0.96,2.96,0.04836,0.65196,7.7,0.48,1.48,,51.640593
gemma-27b,competitive,scot,gemma-27b:scot,25,0.36,12.28,0.04,12.68,0.0348,75.14625,20.75,1.0,2.3988,70.5792,2.6024,0.40872,16.92,1.0,2.92,0.04364,0.66084,8.46,0.5,1.46,,18.0,1.74,3607.02,50.0,423.0,25.0,73.0,23.8356164384,246.5753424658,49411.2328767123,684.9315068493,0.36,12.28,0.04,12.68,0.0348,75.14625,20.75,1.0,2.3988,70.5792,2.6024,0.40872,16.92,1.0,2.92,0.04364,0.66084,8.46,0.5,1.46,,51.782373
gemma-27b,competitive,few_shot,gemma-27b:few_shot,25,0.4,12.36,0.04,12.8,0.03572,74.9875,20.7916666667,1.0,2.4072,70.5024,2.6112,0.40896,16.8,1.0,2.92,0.04668,0.66008,8.4,0.5,1.46,,20.0,1.786,3599.4,50.0,420.0,25.0,73.0,24.4657534247,273.9726027397,49306.8493150685,684.9315068493,0.4,12.36,0.04,12.8,0.03572,74.9875,20.7916666667,1.0,2.4072,70.5024,2.6112,0.40896,16.8,1.0,2.92,0.04668,0.66008,8.4,0.5,1.46,,51.771885
gemma-27b,consensus,zero_shot,gemma-27b:zero_shot,25,8.24,6.32,0.04,14.6,0.57088,81.5004166667,57.9195833333,0.92,2.638,66.792,3.8124,0.32228,16.0,0.96,3.0,0.09028,0.63756,1705.58,24.14,1722.74,,412.0,28.544,3912.02,46.0,85279.0,1207.0,86137.0,0.3313790822,4.7830781197,45.4162555,0.534032994,8.24,6.32,0.04,14.6,0.57088,81.5004166667,57.9195833333,0.92,2.638,66.792,3.8124,0.32228,16.0,0.96,3.0,0.09028,0.63756,1705.58,24.14,1722.74,,67.969913
gemma-27b,consensus,cot,gemma-27b:cot,25,7.96,5.72,0.08,13.76,0.55712,81.5652173913,57.9452173913,0.96,2.4852,64.352,3.5836,0.32512,14.8,0.92,2.88,0.1314,0.61156,1690.86,247.34,1931.78,,398.0,27.856,3752.0,48.0,84543.0,12367.0,96589.0,0.2883972295,4.1205520297,38.8450030542,0.4969509986,7.96,5.72,0.08,13.76,0.55712,81.5652173913,57.9452173913,0.96,2.4852,64.352,3.5836,0.32512,14.8,0.92,2.88,0.1314,0.61156,1690.86,247.34,1931.78,,67.118529
gemma-27b,consensus,scot,gemma-27b:scot,25,7.96,6.52,0.0,14.48,0.5732,81.6084,55.2772,0.96,2.7012,70.4168,3.8508,0.3322,15.8,1.0,3.12,0.04936,0.66144,1424.2,310.48,1727.84,,398.0,28.66,4080.42,48.0,71210.0,15524.0,86392.0,0.33174368,4.606908047,47.2314566164,0.5556070006,7.96,6.52,0.0,14.48,0.5732,81.6084,55.2772,0.96,2.7012,70.4168,3.8508,0.3322,15.8,1.0,3.12,0.04936,0.66144,1424.2,310.48,1727.84,,68.912476
gemma-27b,consensus,few_shot,gemma-27b:few_shot,25,7.52,5.32,0.08,12.92,0.5422,81.3291304348,57.6117391304,0.92,2.7472,67.2656,3.7444,0.33204,15.04,0.96,3.0,0.08992,0.6346,1778.54,372.2,2144.24,,376.0,27.11,3741.14,46.0,88927.0,18610.0,107212.0,0.2528634854,3.5070701041,34.8947878969,0.4290564489,7.52,5.32,0.08,12.92,0.5422,81.3291304348,57.6117391304,0.92,2.7472,67.2656,3.7444,0.33204,15.04,0.96,3.0,0.08992,0.6346,1778.54,372.2,2144.24,,65.42517
gemma-27b,hybrid,zero_shot,gemma-27b:zero_shot,25,18.2,5.56,0.04,23.8,0.7272,86.0441666667,63.34,0.89,2.6348,61.5376,5.2512,0.2522,5.72,0.36,1.36,0.6446,0.24088,1924.3,0.18,1922.12,,910.0,36.36,4130.12,44.5,96215.0,9.0,96106.0,0.3783322581,9.4687116309,42.974632177,0.4630304039,18.2,5.56,0.04,23.8,0.7272,86.0441666667,63.34,0.89,2.6348,61.5376,5.2512,0.2522,5.72,0.36,1.36,0.6446,0.24088,1924.3,0.18,1922.12,,70.315035
gemma-27b,hybrid,cot,gemma-27b:cot,25,4.4,13.92,0.04,18.36,0.18436,77.8983333333,31.9308333333,0.965,2.8548,58.35,4.2572,0.28924,26.2,1.28,2.96,0.12688,0.64964,1370.38,0.64,1358.76,,220.0,9.218,3739.12,48.25,68519.0,32.0,67938.0,0.1356825341,3.2382466366,55.0372398363,0.7102063646,4.4,13.92,0.04,18.36,0.18436,77.8983333333,31.9308333333,0.965,2.8548,58.35,4.2572,0.28924,26.2,1.28,2.96,0.12688,0.64964,1370.38,0.64,1358.76,,53.548682
gemma-27b,hybrid,scot,gemma-27b:scot,25,7.52,1.16,0.04,8.72,0.80684,82.5575,64.7829166667,0.61568,2.3288,72.4876,3.1292,0.39064,10.48,0.88,2.88,0.12016,0.60176,1183.72,323.82,1503.3,,376.0,40.342,3962.76,30.784,59186.0,16191.0,75165.0,0.5367125657,5.0023282113,52.7208142087,0.4095523182,7.52,1.16,0.04,8.72,0.80684,82.5575,64.7829166667,0.61568,2.3288,72.4876,3.1292,0.39064,10.48,0.88,2.88,0.12016,0.60176,1183.72,323.82,1503.3,,73.439665
gemma-27b,hybrid,few_shot,gemma-27b:few_shot,25,14.2,4.52,0.04,18.76,0.7352,88.255,71.7475,0.93,2.4332,58.6096,5.5628,0.24332,24.24,2.28,2.84,0.10068,0.69176,1766.58,346.42,2101.16,,710.0,36.76,4236.24,46.5,88329.0,17321.0,105058.0,0.3499019589,6.7581716766,40.3228692722,0.4426126521,14.2,4.52,0.04,18.76,0.7352,88.255,71.7475,0.93,2.4332,58.6096,5.5628,0.24332,24.24,2.28,2.84,0.10068,0.69176,1766.58,346.42,2101.16,,75.733674
gemma-27b,self_healing,zero_shot,gemma-27b:zero_shot,25,0.88,0.2,0.0,1.08,0.0646,22.5424,6.7868,0.96,2.7228,70.3444,2.1652,0.53908,1.08,0.12,0.24,0.92,0.057,773.7,311.26,1084.48,,44.0,3.23,1127.12,48.0,38685.0,15563.0,54224.0,0.0595677191,0.811448805,20.7863676601,0.8852168781,0.88,0.2,0.0,1.08,0.0646,22.5424,6.7868,0.96,2.7228,70.3444,2.1652,0.53908,1.08,0.12,0.24,0.92,0.057,773.7,311.26,1084.48,,29.780186
gemma-27b,self_healing,cot,gemma-27b:cot,25,1.68,0.16,0.0,1.84,0.10856,25.3608,9.1868,0.92668,2.7476,69.9476,2.2808,0.52676,1.76,0.2,0.36,0.88224,0.08576,1165.32,663.8,1828.32,,84.0,5.428,1268.04,46.334,58266.0,33190.0,91416.0,0.0593769143,0.9188763455,13.8710947755,0.5068478166,1.68,0.16,0.0,1.84,0.10856,25.3608,9.1868,0.92668,2.7476,69.9476,2.2808,0.52676,1.76,0.2,0.36,0.88224,0.08576,1165.32,663.8,1828.32,,29.692484
gemma-27b,self_healing,scot,gemma-27b:scot,25,0.88,0.2,0.0,1.08,0.0646,22.66,6.7868,0.96,2.8228,70.1732,2.162,0.53776,1.08,0.12,0.24,0.92,0.057,646.02,427.98,1073.52,,44.0,3.23,1133.0,48.0,32301.0,21399.0,53676.0,0.06017587,0.8197332141,21.1081302631,0.8942544154,0.88,0.2,0.0,1.08,0.0646,22.66,6.7868,0.96,2.8228,70.1732,2.162,0.53776,1.08,0.12,0.24,0.92,0.057,646.02,427.98,1073.52,,29.844042
gemma-27b,self_healing,few_shot,gemma-27b:few_shot,25,1.48,0.2,0.0,1.68,0.1046,25.2692,9.02,0.93134,2.6904,71.0572,2.2016,0.52828,1.76,0.16,0.36,0.88588,0.0832,1006.56,81.14,1086.92,,74.0,5.23,1263.46,46.567,50328.0,4057.0,54346.0,0.0962352335,1.3616457513,23.2484451478,0.8568615905,1.48,0.2,0.0,1.68,0.1046,25.2692,9.02,0.93134,2.6904,71.0572,2.2016,0.52828,1.76,0.16,0.36,0.88588,0.0832,1006.56,81.14,1086.92,,31.886315
gemma-27b,soa,zero_shot,gemma-27b:zero_shot,25,6.36,6.72,0.0,13.08,0.49528,79.3648,46.5296,0.92668,2.66,71.34,3.5148,0.3528,16.92,1.04,3.0,0.04764,0.66052,542.52,0.52,535.56,,318.0,24.764,3968.24,46.334,27126.0,26.0,26778.0,0.9247890059,11.875420121,148.1903054746,1.7303009934,6.36,6.72,0.0,13.08,0.49528,79.3648,46.5296,0.92668,2.66,71.34,3.5148,0.3528,16.92,1.04,3.0,0.04764,0.66052,542.52,0.52,535.56,,68.474094
