model,agent,prompt,config_label,problems,passed_mean,failed_mean,errors_mean,total_mean,functional_correctness_mean,line_coverage_mean,branch_coverage_mean,mutation_score_mean,complexity_cc_mean,maintainability_mi_mean,bloat_ratio_mean,similarity_score_mean,unique_inputs_count_mean,edge_case_count_mean,test_type_count_mean,duplication_ratio_mean,diversity_score_mean,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,execution_time_mean,passed_sum,functional_correctness_sum,line_coverage_sum,mutation_score_sum,prompt_tokens_sum,completion_tokens_sum,total_tokens_sum,fc_per_1k_tokens,passed_per_1k_tokens,coverage_per_1k_tokens,mutation_per_1k_tokens,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens,elapsed_s,quality_rank
gemma-12b,consensus,zero_shot,gemma-12b:zero_shot,25,2.08,1.32,0.68,4.08,0.181,78.62875,67.02125,0.0,2.8272,58.2236,2.5108,0.10984,15.28,0.8,2.8,0.16448,0.5722,3253.12,0.0,3253.12,34.1412,52.0,4.525,629.03,0.0,81328.0,0.0,81328.0,0.0556388944,0.6393861893,7.734482589,0.0,2.08,1.32,0.68,4.08,0.181,78.62875,67.02125,0.0,2.8272,58.2236,2.5108,0.10984,15.28,0.8,2.8,0.16448,0.5722,3253.12,0.0,3253.12,34.1412,39.618453
gemma-12b,consensus,cot,gemma-12b:cot,25,2.24,1.36,0.68,4.28,0.18952,82.29625,68.27125,0.0,2.808,57.5028,2.4916,0.12148,14.48,0.68,2.52,0.24,0.5194,2330.68,0.0,2330.68,34.396,56.0,4.738,658.37,0.0,58267.0,0.0,58267.0,0.0813153243,0.9610928999,11.2991916522,0.0,2.24,1.36,0.68,4.28,0.18952,82.29625,68.27125,0.0,2.808,57.5028,2.4916,0.12148,14.48,0.68,2.52,0.24,0.5194,2330.68,0.0,2330.68,34.396,41.199003
gemma-12b,consensus,scot,gemma-12b:scot,25,2.12,1.48,0.72,4.32,0.16444,83.6771428571,70.8814285714,0.0,2.818,55.7836,2.6712,0.10148,16.92,0.88,2.88,0.12428,0.59268,2707.84,0.0,2707.84,34.4792,53.0,4.111,585.74,0.0,67696.0,0.0,67696.0,0.0607273694,0.7829118412,8.6525053179,0.0,2.12,1.48,0.72,4.32,0.16444,83.6771428571,70.8814285714,0.0,2.818,55.7836,2.6712,0.10148,16.92,0.88,2.88,0.12428,0.59268,2707.84,0.0,2707.84,34.4792,40.925927
gemma-12b,consensus,few_shot,gemma-12b:few_shot,25,2.12,1.56,0.68,4.36,0.17652,83.54875,73.64625,0.0,2.8876,57.8472,2.506,0.13176,15.4,0.76,2.64,0.20544,0.54236,2562.08,0.0,2562.08,32.7016,53.0,4.413,668.39,0.0,64052.0,0.0,64052.0,0.0688971461,0.8274526947,10.4351152189,0.0,2.12,1.56,0.68,4.36,0.17652,83.54875,73.64625,0.0,2.8876,57.8472,2.506,0.13176,15.4,0.76,2.64,0.20544,0.54236,2562.08,0.0,2562.08,32.7016,41.008281
gemma-12b,hybrid,zero_shot,gemma-12b:zero_shot,25,0.88,0.72,0.88,2.48,0.063,84.1433333333,66.2233333333,0.0,3.0408,49.5652,3.9836,0.0692,6.32,0.4,1.48,0.56408,0.28468,2269.2,0.0,2269.2,27.9288,22.0,1.575,252.43,0.0,56730.0,0.0,56730.0,0.0277630883,0.3878018685,4.4496738939,0.0,0.88,0.72,0.88,2.48,0.063,84.1433333333,66.2233333333,0.0,3.0408,49.5652,3.9836,0.0692,6.32,0.4,1.48,0.56408,0.28468,2269.2,0.0,2269.2,27.9288,34.309484
gemma-12b,hybrid,cot,gemma-12b:cot,25,9.28,4.08,0.12,13.48,0.59472,84.5040909091,65.2745454545,0.0,2.7968,63.3384,3.646,0.3066,3.28,0.2,0.68,0.80296,0.1416,2347.56,0.0,2347.56,22.0172,232.0,14.868,1859.09,0.0,58689.0,0.0,58689.0,0.253335378,3.9530406039,31.6769752424,0.0,9.28,4.08,0.12,13.48,0.59472,84.5040909091,65.2745454545,0.0,2.7968,63.3384,3.646,0.3066,3.28,0.2,0.68,0.80296,0.1416,2347.56,0.0,2347.56,22.0172,54.165393
gemma-12b,hybrid,scot,gemma-12b:scot,25,6.48,2.56,0.32,9.36,0.49068,84.1494117647,62.6111764706,0.0,2.4636,63.9044,3.0484,0.26984,8.56,0.64,1.92,0.44844,0.39164,2217.6,0.0,2217.6,27.904,162.0,12.267,1430.54,0.0,55440.0,0.0,55440.0,0.2212662338,2.9220779221,25.8033910534,0.0,6.48,2.56,0.32,9.36,0.49068,84.1494117647,62.6111764706,0.0,2.4636,63.9044,3.0484,0.26984,8.56,0.64,1.92,0.44844,0.39164,2217.6,0.0,2217.6,27.904,52.5354
gemma-12b,hybrid,few_shot,gemma-12b:few_shot,25,12.0,3.16,0.24,15.4,0.6106,88.8021052632,75.9678947368,0.01,3.0088,58.4344,5.406,0.2354,9.4,1.56,2.28,0.32472,0.48376,2814.84,11.76,2826.6,35.5276,300.0,15.265,1687.24,0.25,70371.0,294.0,70665.0,0.2160192457,4.2453831458,23.8766008632,0.0035378193,12.0,3.16,0.24,15.4,0.6106,88.8021052632,75.9678947368,0.01,3.0088,58.4344,5.406,0.2354,9.4,1.56,2.28,0.32472,0.48376,2814.84,11.76,2826.6,35.5276,59.004822
gemma-12b,self_healing,zero_shot,gemma-12b:zero_shot,25,3.04,1.36,0.4,4.8,0.30996,68.5946666667,56.258,0.0,3.8156,63.0232,2.718,0.289,9.6,0.56,1.84,0.44248,0.3648,1840.88,0.0,1840.88,28.1892,76.0,7.749,1028.92,0.0,46022.0,0.0,46022.0,0.1683759941,1.6513841206,22.3571335448,0.0,3.04,1.36,0.4,4.8,0.30996,68.5946666667,56.258,0.0,3.8156,63.0232,2.718,0.289,9.6,0.56,1.84,0.44248,0.3648,1840.88,0.0,1840.88,28.1892,41.497007
gemma-12b,self_healing,cot,gemma-12b:cot,25,2.88,1.2,0.48,4.56,0.27492,66.46,54.4876923077,0.00668,4.6916,61.68,2.7952,0.2548,12.36,0.64,2.04,0.40532,0.4074,1526.28,81.92,1608.2,26.1184,72.0,6.873,863.98,0.167,38157.0,2048.0,40205.0,0.170948887,1.7908220371,21.4893669942,0.0041537122,2.88,1.2,0.48,4.56,0.27492,66.46,54.4876923077,0.00668,4.6916,61.68,2.7952,0.2548,12.36,0.64,2.04,0.40532,0.4074,1526.28,81.92,1608.2,26.1184,40.302568
gemma-12b,self_healing,scot,gemma-12b:scot,25,2.48,0.96,0.48,3.92,0.22024,55.58,42.7953846154,0.01468,3.674,63.628,2.5212,0.28544,11.0,0.6,1.72,0.48248,0.35044,1702.16,0.0,1702.16,22.1568,62.0,5.506,722.54,0.367,42554.0,0.0,42554.0,0.1293885416,1.4569723175,16.979367392,0.0086243361,2.48,0.96,0.48,3.92,0.22024,55.58,42.7953846154,0.01468,3.674,63.628,2.5212,0.28544,11.0,0.6,1.72,0.48248,0.35044,1702.16,0.0,1702.16,22.1568,34.859098
gemma-12b,self_healing,few_shot,gemma-12b:few_shot,25,2.88,1.12,0.48,4.48,0.26692,65.6,53.3853846154,0.0,3.6752,63.3332,2.5492,0.27056,10.88,0.56,1.88,0.44248,0.37676,1443.32,0.0,1443.32,28.1468,72.0,6.673,852.8,0.0,36083.0,0.0,36083.0,0.1849347338,1.9953994956,23.6343984702,0.0,2.88,1.12,0.48,4.48,0.26692,65.6,53.3853846154,0.0,3.6752,63.3332,2.5492,0.27056,10.88,0.56,1.88,0.44248,0.37676,1443.32,0.0,1443.32,28.1468,39.513057
gemma-12b,soa,zero_shot,gemma-12b:zero_shot,25,4.28,1.32,0.56,6.16,0.317,87.6563636364,80.7127272727,0.0,3.14,52.9756,2.686,0.1226,14.56,0.72,2.28,0.32192,0.46364,647.44,0.0,647.44,9.922,107.0,7.925,964.22,0.0,16186.0,0.0,16186.0,0.4896206598,6.61065118,59.5712344001,0.0,4.28,1.32,0.56,6.16,0.317,87.6563636364,80.7127272727,0.0,3.14,52.9756,2.686,0.1226,14.56,0.72,2.28,0.32192,0.46364,647.44,0.0,647.44,9.922,48.633281
