model,agent,prompt,config_label,problems,passed_mean,failed_mean,errors_mean,total_mean,functional_correctness_mean,line_coverage_mean,branch_coverage_mean,mutation_score_mean,complexity_cc_mean,maintainability_mi_mean,bloat_ratio_mean,similarity_score_mean,unique_inputs_count_mean,edge_case_count_mean,test_type_count_mean,duplication_ratio_mean,diversity_score_mean,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,execution_time_mean,passed_sum,functional_correctness_sum,line_coverage_sum,mutation_score_sum,prompt_tokens_sum,completion_tokens_sum,total_tokens_sum,fc_per_1k_tokens,passed_per_1k_tokens,coverage_per_1k_tokens,mutation_per_1k_tokens,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens,elapsed_s,quality_rank
gemma-12b,consensus,scot,gemma-12b:scot,25,0.72,2.24,0.72,3.68,0.05604,70.7742857143,47.0714285714,1.0,2.6244,70.942,3.1952,0.36636,16.44,0.88,2.88,0.12968,0.59832,3327.72,347.32,3675.04,,18.0,1.401,495.42,25.0,83193.0,8683.0,91876.0,0.0152488136,0.1959162349,5.3922678393,0.2721058818,0.72,2.24,0.72,3.68,0.05604,70.7742857143,47.0714285714,1.0,2.6244,70.942,3.1952,0.36636,16.44,0.88,2.88,0.12968,0.59832,3327.72,347.32,3675.04,,47.528451
gemma-12b,consensus,few_shot,gemma-12b:few_shot,25,0.76,2.2,0.72,3.68,0.06132,75.8057142857,54.2142857143,0.96,2.6484,71.3328,3.0756,0.37748,16.72,0.88,2.88,0.12248,0.60712,2712.96,8.52,2721.48,,19.0,1.533,530.64,24.0,67824.0,213.0,68037.0,0.0225318577,0.2792598145,7.7992856828,0.3527492394,0.76,2.2,0.72,3.68,0.06132,75.8057142857,54.2142857143,0.96,2.6484,71.3328,3.0756,0.37748,16.72,0.88,2.88,0.12248,0.60712,2712.96,8.52,2721.48,,49.365088
gemma-12b,hybrid,zero_shot,gemma-12b:zero_shot,25,0.96,0.8,0.84,2.6,0.08936,84.36,67.9575,1.0,3.264,58.9996,4.7732,0.25732,6.52,0.36,1.36,0.60688,0.25628,2659.4,0.0,2659.4,,24.0,2.234,337.44,25.0,66485.0,0.0,66485.0,0.0336015643,0.3609836805,5.0754305482,0.3760246672,0.96,0.8,0.84,2.6,0.08936,84.36,67.9575,1.0,3.264,58.9996,4.7732,0.25732,6.52,0.36,1.36,0.60688,0.25628,2659.4,0.0,2659.4,,49.774123
gemma-12b,hybrid,cot,gemma-12b:cot,25,8.48,3.4,0.12,12.0,0.62076,85.0495454545,64.32,0.968,2.8068,68.4292,4.0964,0.31104,3.52,0.28,0.72,0.8,0.14768,3133.76,0.0,3133.76,,212.0,15.519,1871.09,24.2,78344.0,0.0,78344.0,0.1980879199,2.7060145002,23.8830031655,0.308894108,8.48,3.4,0.12,12.0,0.62076,85.0495454545,64.32,0.968,2.8068,68.4292,4.0964,0.31104,3.52,0.28,0.72,0.8,0.14768,3133.76,0.0,3133.76,,69.198952
gemma-12b,hybrid,scot,gemma-12b:scot,25,4.48,1.68,0.44,6.6,0.3946,82.7092857143,64.8214285714,0.89,2.1916,69.892,3.2992,0.3518,5.72,0.4,1.44,0.57948,0.29488,1889.36,0.0,1889.36,,112.0,9.865,1157.93,22.25,47234.0,0.0,47234.0,0.2088537918,2.3711733074,24.5147563196,0.4710589829,4.48,1.68,0.44,6.6,0.3946,82.7092857143,64.8214285714,0.89,2.1916,69.892,3.2992,0.3518,5.72,0.4,1.44,0.57948,0.29488,1889.36,0.0,1889.36,,61.017343
gemma-12b,hybrid,few_shot,gemma-12b:few_shot,25,12.04,4.04,0.2,16.28,0.61852,88.405,74.4765,0.858,2.9056,61.8152,5.8856,0.2372,9.52,1.44,2.04,0.40776,0.447,2667.8,0.0,2667.8,,301.0,15.463,1768.1,21.45,66695.0,0.0,66695.0,0.2318464653,4.5130819402,26.5102331509,0.3216133143,12.04,4.04,0.2,16.28,0.61852,88.405,74.4765,0.858,2.9056,61.8152,5.8856,0.2372,9.52,1.44,2.04,0.40776,0.447,2667.8,0.0,2667.8,,71.721225
gemma-12b,self_healing,zero_shot,gemma-12b:zero_shot,25,2.68,0.96,0.52,4.16,0.23884,60.2883333333,40.8058333333,0.96668,2.8464,69.3012,3.146,0.38496,11.36,0.52,2.16,0.36248,0.42708,1319.76,292.16,1611.92,,67.0,5.971,723.46,24.167,32994.0,7304.0,40298.0,0.1481711251,1.6626135292,17.9527519976,0.5997071815,2.68,0.96,0.52,4.16,0.23884,60.2883333333,40.8058333333,0.96668,2.8464,69.3012,3.146,0.38496,11.36,0.52,2.16,0.36248,0.42708,1319.76,292.16,1611.92,,51.90982
gemma-12b,self_healing,cot,gemma-12b:cot,25,2.96,1.48,0.44,4.88,0.25832,66.0228571429,50.7764285714,0.96668,3.2652,68.5196,3.304,0.37484,10.04,0.52,1.92,0.44248,0.37708,1028.32,119.52,1147.84,,74.0,6.458,924.32,24.167,25708.0,2988.0,28696.0,0.2250487873,2.5787566211,32.2107610817,0.8421731252,2.96,1.48,0.44,4.88,0.25832,66.0228571429,50.7764285714,0.96668,3.2652,68.5196,3.304,0.37484,10.04,0.52,1.92,0.44248,0.37708,1028.32,119.52,1147.84,,54.050727
gemma-12b,self_healing,scot,gemma-12b:scot,25,2.72,1.16,0.48,4.36,0.24692,64.2446153846,50.3853846154,0.96668,3.0332,68.8504,3.2656,0.37748,9.8,0.56,1.88,0.44248,0.37576,1114.36,791.4,1905.76,,68.0,6.173,835.18,24.167,27859.0,19785.0,47644.0,0.1295651079,1.4272521199,17.5295944925,0.5072412056,2.72,1.16,0.48,4.36,0.24692,64.2446153846,50.3853846154,0.96668,3.0332,68.8504,3.2656,0.37748,9.8,0.56,1.88,0.44248,0.37576,1114.36,791.4,1905.76,,52.437848
gemma-12b,self_healing,few_shot,gemma-12b:few_shot,25,3.04,1.32,0.4,4.76,0.30892,65.54,54.7693333333,0.898,3.3696,68.5656,3.4684,0.36856,9.36,0.44,1.88,0.44248,0.35976,1212.64,629.32,1841.96,,76.0,7.723,983.1,22.45,30316.0,15733.0,46049.0,0.1677126539,1.6504158614,21.3489978067,0.487524159,3.04,1.32,0.4,4.76,0.30892,65.54,54.7693333333,0.898,3.3696,68.5656,3.4684,0.36856,9.36,0.44,1.88,0.44248,0.35976,1212.64,629.32,1841.96,,54.110344
