model,agent,prompt,config_label,problems,passed_mean,failed_mean,errors_mean,total_mean,functional_correctness_mean,line_coverage_mean,branch_coverage_mean,mutation_score_mean,complexity_cc_mean,maintainability_mi_mean,bloat_ratio_mean,similarity_score_mean,unique_inputs_count_mean,edge_case_count_mean,test_type_count_mean,duplication_ratio_mean,diversity_score_mean,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,execution_time_mean,passed_sum,functional_correctness_sum,line_coverage_sum,mutation_score_sum,prompt_tokens_sum,completion_tokens_sum,total_tokens_sum,fc_per_1k_tokens,passed_per_1k_tokens,coverage_per_1k_tokens,mutation_per_1k_tokens,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens,elapsed_s,quality_rank
gemma-27b,self_healing,zero_shot,gemma-27b:zero_shot,25,0.88,0.2,0.0,1.08,0.0646,19.6198,6.5468,0.96,4.1496,83.597,1.456,0.71304,0.92,0.057,1500.76,0.0,1500.76,807.4454,622.4,2168.72,,44.0,3.23,980.99,48.0,40372.27,15560.0,54218.0,0.0595743111,0.8115386034,18.0934376037,0.8853148401,0.88,0.2,0.0,1.08,0.0646,19.6198,6.5468,0.96,4.1496,83.597,1.456,0.71304,0.92,0.057,1500.76,0.0,1500.76,807.4454,622.4,2168.72,,15034.428327
gemma-27b,self_healing,cot,gemma-27b:cot,25,1.26,0.18,0.0,1.44,0.08594,20.9954,8.9468,0.94334,4.3138,82.8554,1.504,0.70396,0.88224,0.08576,1765.92,0.0,1765.92,1201.8178,1327.4,3656.28,,63.0,4.297,1049.77,47.167,60090.89,33185.0,91407.0,0.0470095288,0.6892251141,11.4845690155,0.5160108088,1.26,0.18,0.0,1.44,0.08594,20.9954,8.9468,0.94334,4.3138,82.8554,1.504,0.70396,0.88224,0.08576,1765.92,0.0,1765.92,1201.8178,1327.4,3656.28,,17683.504764
gemma-27b,self_healing,scot,gemma-27b:scot,25,1.22,0.18,0.0,1.4,0.08658,20.8286,6.5468,0.94334,4.454,82.6658,1.5212,0.70022,0.92,0.057,1837.56,0.0,1837.56,687.8346,855.84,2146.8,,61.0,4.329,1041.43,47.167,34391.73,21396.0,53670.0,0.0806595864,1.136575368,19.4043227129,0.8788336128,1.22,0.18,0.0,1.4,0.08658,20.8286,6.5468,0.94334,4.454,82.6658,1.5212,0.70022,0.92,0.057,1837.56,0.0,1837.56,687.8346,855.84,2146.8,,18403.410976
gemma-27b,self_healing,few_shot,gemma-27b:few_shot,25,1.44,0.18,0.0,1.62,0.10658,22.623,8.78,0.924,4.061,83.5054,1.4626,0.70436,0.88588,0.0832,1874.28,151.08,2025.36,1038.6862,162.12,2173.48,,72.0,5.329,1131.15,46.2,51934.31,4053.0,54337.0,0.0980731362,1.3250639527,20.8173068075,0.8502493697,1.44,0.18,0.0,1.62,0.10658,22.623,8.78,0.924,4.061,83.5054,1.4626,0.70436,0.88588,0.0832,1874.28,151.08,2025.36,1038.6862,162.12,2173.48,,20282.307219
gemma-27b,soa,zero_shot,gemma-27b:zero_shot,25,10.18,2.84,0.0,13.02,0.78006,88.6778,75.0096,0.83634,2.9066,61.1452,2.827,0.26966,0.04764,0.66052,1231.56,0.0,1231.56,579.712,0.0,1068.12,,509.0,39.003,4433.89,41.817,28985.6,0.0,26703.0,1.460622402,19.0615286672,166.0446391791,1.5660038198,10.18,2.84,0.0,13.02,0.78006,88.6778,75.0096,0.83634,2.9066,61.1452,2.827,0.26966,0.04764,0.66052,1231.56,0.0,1231.56,579.712,0.0,1068.12,,12389.024534
gemma-27b,soa,cot,gemma-27b:cot,25,10.2,3.02,0.0,13.22,0.76606,88.9022,76.2856,0.85766,2.8322,61.1692,2.818,0.2699,0.08784,0.63016,911.88,0.0,911.88,610.6532,0.0,1139.92,,510.0,38.303,4445.11,42.883,30532.66,0.0,28498.0,1.3440592322,17.8959927012,155.9797178749,1.5047722647,10.2,3.02,0.0,13.22,0.76606,88.9022,76.2856,0.85766,2.8322,61.1692,2.818,0.2699,0.08784,0.63016,911.88,0.0,911.88,610.6532,0.0,1139.92,,9191.872891
gemma-27b,soa,scot,gemma-27b:scot,25,10.24,2.94,0.0,13.18,0.77274,88.7894,76.2856,0.84434,2.925,61.0866,2.849,0.26848,0.048,0.65844,1070.2,0.0,1070.2,869.97,24.48,1662.84,,512.0,38.637,4439.47,42.217,43498.5,612.0,41571.0,0.9294219528,12.3162781747,106.7924755238,1.0155396791,10.24,2.94,0.0,13.18,0.77274,88.7894,76.2856,0.84434,2.925,61.0866,2.849,0.26848,0.048,0.65844,1070.2,0.0,1070.2,869.97,24.48,1662.84,,10773.891878
gemma-27b,soa,few_shot,gemma-27b:few_shot,25,9.7,3.02,0.02,12.74,0.74304,88.4165306122,74.9404166667,0.85934,2.8272,60.1812,2.76,0.27126,0.088,0.63176,947.28,0.0,947.28,914.2128,116.36,1854.64,,485.0,37.152,4332.41,42.967,45710.64,2909.0,46366.0,0.8012767977,10.460251046,93.439373679,0.9266919726,9.7,3.02,0.02,12.74,0.74304,88.4165306122,74.9404166667,0.85934,2.8272,60.1812,2.76,0.27126,0.088,0.63176,947.28,0.0,947.28,914.2128,116.36,1854.64,,9543.188103
gemma-27b,swarm,zero_shot,gemma-27b:zero_shot,25,1.16,0.34,0.0,1.5,0.74,79.8074,64.9076,0.433,2.2472,79.9484,0.6556,0.21354,0.02,0.46812,1003.84,0.0,1003.84,721.9884,0.0,1306.0,,58.0,37.0,3990.37,21.65,36099.42,0.0,32650.0,1.1332312404,1.7764165391,122.2165390505,0.663093415,1.16,0.34,0.0,1.5,0.74,79.8074,64.9076,0.433,2.2472,79.9484,0.6556,0.21354,0.02,0.46812,1003.84,0.0,1003.84,721.9884,0.0,1306.0,,10101.39935
gemma-27b,swarm,cot,gemma-27b:cot,25,3.58,1.58,0.0,5.16,0.75476,81.9778,65.4096,0.49432,2.1826,77.5844,1.2252,0.25312,0.0,0.53708,1337.36,0.0,1337.36,1332.6442,11.96,2526.96,,179.0,37.738,4098.89,24.716,66632.21,299.0,63174.0,0.597366005,2.8334441384,64.8825466173,0.3912369013,3.58,1.58,0.0,5.16,0.75476,81.9778,65.4096,0.49432,2.1826,77.5844,1.2252,0.25312,0.0,0.53708,1337.36,0.0,1337.36,1332.6442,11.96,2526.96,,13435.803088
gemma-27b,swarm,scot,gemma-27b:scot,25,2.94,0.66,0.06,3.66,0.7396,73.856875,59.255,0.49034,2.7486,80.182,1.7102,0.4902,0.0,0.56272,1354.24,0.0,1354.24,1506.9296,92.16,2928.72,,147.0,36.98,3545.13,24.517,75346.48,2304.0,73218.0,0.50506706,2.0077030238,48.4188314349,0.334849354,2.94,0.66,0.06,3.66,0.7396,73.856875,59.255,0.49034,2.7486,80.182,1.7102,0.4902,0.0,0.56272,1354.24,0.0,1354.24,1506.9296,92.16,2928.72,,13600.969265
gemma-27b,swarm,few_shot,gemma-27b:few_shot,25,0.86,0.28,0.0,1.14,0.8,88.6084,76.5668,0.35066,2.1,81.962,0.2314,0.13968,0.0,0.44604,1039.8,176.72,1216.52,956.299,268.6,2048.68,,43.0,40.0,4430.42,17.533,47814.95,6715.0,51217.0,0.7809906867,0.8395649882,86.5029189527,0.3423277427,0.86,0.28,0.0,1.14,0.8,88.6084,76.5668,0.35066,2.1,81.962,0.2314,0.13968,0.0,0.44604,1039.8,176.72,1216.52,956.299,268.6,2048.68,,12229.831485
gemma-4b,actor_critic,zero_shot,gemma-4b:zero_shot,25,7.58,4.66,0.0,12.24,0.59324,83.7648,68.272,0.93,2.7788,68.5216,3.1526,0.38664,0.09228,0.62436,1442.24,114.84,1557.08,1225.98,708.16,3124.36,,379.0,29.662,4188.24,46.5,61299.0,17704.0,78109.0,0.3797513731,4.8521937293,53.6204534689,0.5953219219,7.58,4.66,0.0,12.24,0.59324,83.7648,68.272,0.93,2.7788,68.5216,3.1526,0.38664,0.09228,0.62436,1442.24,114.84,1557.08,1225.98,708.16,3124.36,,15632.130228
gemma-4b,actor_critic,cot,gemma-4b:cot,25,6.5,4.18,0.02,10.7,0.56142,80.8030612245,66.695,0.92,3.037,68.1476,3.0338,0.3961,0.13412,0.60224,1330.8,0.0,1330.8,744.825,370.96,1819.52,,325.0,28.071,3959.35,46.0,37241.25,9274.0,45488.0,0.6171078087,7.1447414703,87.0416373549,1.0112557158,6.5,4.18,0.02,10.7,0.56142,80.8030612245,66.695,0.92,3.037,68.1476,3.0338,0.3961,0.13412,0.60224,1330.8,0.0,1330.8,744.825,370.96,1819.52,,13370.211787
gemma-4b,actor_critic,scot,gemma-4b:scot,25,5.08,2.6,0.08,7.76,0.57256,79.1145652174,61.9669565217,0.925,2.4374,66.3038,3.2978,0.34618,0.13588,0.58644,1310.72,0.0,1310.72,1145.5746,0.0,2234.68,,254.0,28.628,3639.27,46.25,57278.73,0.0,55867.0,0.5124313101,4.5465122523,65.1416757657,0.8278590223,5.08,2.6,0.08,7.76,0.57256,79.1145652174,61.9669565217,0.925,2.4374,66.3038,3.2978,0.34618,0.13588,0.58644,1310.72,0.0,1310.72,1145.5746,0.0,2234.68,,13168.541503
gemma-4b,actor_critic,few_shot,gemma-4b:few_shot,25,10.2,2.24,0.02,12.46,0.7725,85.9416326531,72.1758333333,0.828,2.532,63.3232,3.6946,0.37008,0.04948,0.69396,1443.72,0.0,1443.72,925.6942,327.68,2130.08,,510.0,38.625,4211.14,41.4,46284.71,8192.0,53252.0,0.7253248704,9.5771050853,79.0794711936,0.7774355893,10.2,2.24,0.02,12.46,0.7725,85.9416326531,72.1758333333,0.828,2.532,63.3232,3.6946,0.37008,0.04948,0.69396,1443.72,0.0,1443.72,925.6942,327.68,2130.08,,14507.03495
gemma-4b,adversarial,zero_shot,gemma-4b:zero_shot,25,6.36,3.68,0.02,10.06,0.60756,82.9367346939,67.7776,0.87,2.7266,70.4238,2.7684,0.4235,0.04616,0.67224,523.44,22.16,545.6,806.975,358.84,1945.12,,318.0,30.378,4063.9,43.5,40348.75,8971.0,48628.0,0.6247018179,6.5394422966,83.571193551,0.8945463519,6.36,3.68,0.02,10.06,0.60756,82.9367346939,67.7776,0.87,2.7266,70.4238,2.7684,0.4235,0.04616,0.67224,523.44,22.16,545.6,806.975,358.84,1945.12,,5519.547722
gemma-4b,adversarial,cot,gemma-4b:cot,25,5.98,3.54,0.02,9.54,0.59528,82.2148979592,65.35375,0.92,2.6858,70.9814,2.7012,0.42808,0.16,0.5614,804.6,0.0,804.6,808.395,5.04,1587.32,,299.0,29.764,4028.53,46.0,40419.75,126.0,39683.0,0.7500440995,7.5347125973,101.5177783938,1.1591865534,5.98,3.54,0.02,9.54,0.59528,82.2148979592,65.35375,0.92,2.6858,70.9814,2.7012,0.42808,0.16,0.5614,804.6,0.0,804.6,808.395,5.04,1587.32,,8110.460975
gemma-4b,adversarial,scot,gemma-4b:scot,25,2.8,2.5,0.22,5.52,0.36854,72.1992307692,53.6705555556,0.96,2.1892,52.6328,2.6296,0.37434,0.36,0.42212,864.2,0.0,864.2,843.1158,0.0,1646.08,,140.0,18.427,2815.77,48.0,42155.79,0.0,41152.0,0.4477789658,3.4020217729,68.4236489114,1.166407465,2.8,2.5,0.22,5.52,0.36854,72.1992307692,53.6705555556,0.96,2.1892,52.6328,2.6296,0.37434,0.36,0.42212,864.2,0.0,864.2,843.1158,0.0,1646.08,,8695.350344
gemma-4b,adversarial,few_shot,gemma-4b:few_shot,25,10.02,2.42,0.02,12.46,0.78148,87.3340816327,74.2633333333,0.904,2.9686,58.7336,4.2272,0.28086,0.04268,0.71548,881.48,0.0,881.48,809.3064,0.0,1579.4,,501.0,39.074,4279.37,45.2,40465.32,0.0,39485.0,0.9895909839,12.6883626694,108.3796378372,1.1447385083,10.02,2.42,0.02,12.46,0.78148,87.3340816327,74.2633333333,0.904,2.9686,58.7336,4.2272,0.28086,0.04268,0.71548,881.48,0.0,881.48,809.3064,0.0,1579.4,,8887.767252
gemma-4b,atomic_swarm,zero_shot,gemma-4b:zero_shot,25,2.64,0.68,0.0,3.32,0.78076,71.3058,56.8864,0.56466,2.5192,74.3502,2.502,0.35596,0.1346,0.50568,1067.96,0.0,1067.96,792.7808,44.36,1581.92,,132.0,39.038,3565.29,28.233,39639.04,1109.0,39548.0,0.9871042783,3.337716193,90.1509558005,0.7138919794,2.64,0.68,0.0,3.32,0.78076,71.3058,56.8864,0.56466,2.5192,74.3502,2.502,0.35596,0.1346,0.50568,1067.96,0.0,1067.96,792.7808,44.36,1581.92,,10743.435402
